Scope	ID	Key	Value
pept	gene:20397	PKO-r	0.641208325
pept	gene:20425	PKO-c	unaf
pept	gene:20425	PKO-r	1
pept	gene:20495	PKO-c	unaf
pept	gene:20495	PKO-r	1
pept	gene:20496	PKO-c	unaf
pept	gene:20496	PKO-r	1
pept	gene:20498	PKO-c	unaf
pept	gene:20498	PKO-r	1
pept	gene:20499	PKO-c	unaf
pept	gene:20499	PKO-r	1
pept	gene:20501	PKO-c	unaf
pept	gene:20501	PKO-r	1
pept	gene:20502	PKO-c	unaf
pept	gene:20502	PKO-r	1
pept	gene:20503	PKO-c	unaf
pept	gene:20503	PKO-r	1
pept	gene:20504	PKO-c	unaf
pept	gene:20504	PKO-r	1
pept	gene:20505	PKO-c	unaf
pept	gene:20505	PKO-r	1
pept	gene:20509	PKO-c	unaf
pept	gene:20509	PKO-r	1
pept	gene:20514	PKO-c	unaf
pept	gene:20514	PKO-r	1
pept	gene:20515	PKO-c	unaf
pept	gene:20515	PKO-r	1
